Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2024,7,15014,80366015.9,54619969.15
Sucursal Norte,Fanta,2024,7,820,565465.09,388506.08
Sucursal Norte,Sprite,2024,7,4903,14925100.52,9438340.42
Sucursal Norte,7 Up,2024,7,4826,7309921.75,5276322.32
Sucursal Norte,Pepsi,2024,7,7797,25396558.67,20111067.45
Sucursal Centro,Coca Cola,2024,7,15625,84458882.67,59269260.61
Sucursal Centro,Fanta,2024,7,782,544659.13,354703.49
Sucursal Centro,Sprite,2024,7,5729,16911650.34,12462422.88
Sucursal Centro,7 Up,2024,7,4908,7442548.33,4987054.76
Sucursal Centro,Pepsi,2024,7,8094,27967542.52,19655336.01
Sucursal Sur,Coca Cola,2024,7,15829,95570939.74,59600961.27
Sucursal Sur,Fanta,2024,7,846,578455.35,409461.45
Sucursal Sur,Sprite,2024,7,5245,13295284.16,10153006.85
Sucursal Sur,7 Up,2024,7,4711,7238410.07,4436705.72
Sucursal Sur,Pepsi,2024,7,7880,28287893.7,21813460.24
Sucursal Norte,Coca Cola,2024,8,14421,78134600.79,55372040.08
Sucursal Norte,Fanta,2024,8,876,603231.39,436720.74
Sucursal Norte,Sprite,2024,8,5294,15068026.46,11440252.36
Sucursal Norte,7 Up,2024,8,4584,6789526.46,5097380.59
Sucursal Norte,Pepsi,2024,8,8220,28768370.49,21685773.2
Sucursal Centro,Coca Cola,2024,8,14534,90837555.25,62221127.78
Sucursal Centro,Fanta,2024,8,784,582108.87,419126.38
Sucursal Centro,Sprite,2024,8,5513,14174484.17,10406362.82
Sucursal Centro,7 Up,2024,8,4661,6982893.0,4240121.59
Sucursal Centro,Pepsi,2024,8,7698,26239795.96,19850482.78
Sucursal Sur,Coca Cola,2024,8,14845,81485297.53,65098064.02
Sucursal Sur,Fanta,2024,8,852,583041.74,450862.81
Sucursal Sur,Sprite,2024,8,4985,15175385.71,10747242.64
Sucursal Sur,7 Up,2024,8,4764,7541741.61,4744243.78
Sucursal Sur,Pepsi,2024,8,8381,31034035.42,22825588.88
Sucursal Norte,Coca Cola,2024,9,16092,90535402.68,69369606.64
Sucursal Norte,Fanta,2024,9,763,585731.44,451586.67
Sucursal Norte,Sprite,2024,9,5736,14904529.12,10949540.48
Sucursal Norte,7 Up,2024,9,4812,7294802.34,4769026.35
Sucursal Norte,Pepsi,2024,9,8652,31210887.65,19552613.54
Sucursal Centro,Coca Cola,2024,9,14848,79097943.1,62953846.43
Sucursal Centro,Fanta,2024,9,841,662183.56,501789.31
Sucursal Centro,Sprite,2024,9,5641,16100641.17,11557366.56
Sucursal Centro,7 Up,2024,9,4895,7592203.25,4959194.75
Sucursal Centro,Pepsi,2024,9,7296,26602985.86,16977978.67
Sucursal Sur,Coca Cola,2024,9,13856,83983090.72,61987010.55
Sucursal Sur,Fanta,2024,9,802,563425.43,371431.93
Sucursal Sur,Sprite,2024,9,5715,15261245.02,10229892.94
Sucursal Sur,7 Up,2024,9,5036,7529858.24,6012405.55
Sucursal Sur,Pepsi,2024,9,7916,28572234.73,19763030.84
Sucursal Norte,Coca Cola,2024,10,15860,85651723.97,65638521.19
Sucursal Norte,Fanta,2024,10,818,545043.75,365876.45
Sucursal Norte,Sprite,2024,10,4956,12727293.86,9878274.06
Sucursal Norte,7 Up,2024,10,5331,7680613.87,4740465.21
Sucursal Norte,Pepsi,2024,10,7701,24702590.62,16206106.97
Sucursal Centro,Coca Cola,2024,10,14557,78835837.42,52478592.64
Sucursal Centro,Fanta,2024,10,844,631234.04,472293.54
Sucursal Centro,Sprite,2024,10,5467,14331783.83,10480842.18
Sucursal Centro,7 Up,2024,10,5345,8357231.16,6370023.97
Sucursal Centro,Pepsi,2024,10,7226,25276565.44,16286721.29
Sucursal Sur,Coca Cola,2024,10,14386,76221377.52,54317429.79
Sucursal Sur,Fanta,2024,10,797,639610.45,460021.24
Sucursal Sur,Sprite,2024,10,5746,16422324.78,11787440.46
Sucursal Sur,7 Up,2024,10,4977,7936068.21,6058343.73
Sucursal Sur,Pepsi,2024,10,7612,24820139.79,16657434.2
Sucursal Norte,Coca Cola,2024,11,14034,74127747.87,45630865.26
Sucursal Norte,Fanta,2024,11,897,630826.0,386536.38
Sucursal Norte,Sprite,2024,11,5582,16040642.45,9922421.77
Sucursal Norte,7 Up,2024,11,5382,8025327.46,6199600.48
Sucursal Norte,Pepsi,2024,11,7718,28285410.4,18297735.41
Sucursal Centro,Coca Cola,2024,11,14694,91591349.65,67093852.6
Sucursal Centro,Fanta,2024,11,742,556546.59,410650.64
Sucursal Centro,Sprite,2024,11,4830,14348707.36,9610659.24
Sucursal Centro,7 Up,2024,11,4828,7815340.35,6090973.99
Sucursal Centro,Pepsi,2024,11,7278,27486650.79,21750414.56
Sucursal Sur,Coca Cola,2024,11,13304,68557857.28,53641398.94
Sucursal Sur,Fanta,2024,11,795,566882.05,369305.29
Sucursal Sur,Sprite,2024,11,5728,16317084.84,12421057.17
Sucursal Sur,7 Up,2024,11,5483,8562753.38,5465875.48
Sucursal Sur,Pepsi,2024,11,8140,26921143.21,19040035.11
Sucursal Norte,Coca Cola,2024,12,13525,83180320.73,53415997.36
Sucursal Norte,Fanta,2024,12,850,605481.09,404704.98
Sucursal Norte,Sprite,2024,12,5424,16265132.87,11201103.54
Sucursal Norte,7 Up,2024,12,5544,8735294.83,6298448.6
Sucursal Norte,Pepsi,2024,12,7738,24790830.01,14915855.11
Sucursal Centro,Coca Cola,2024,12,14845,88142193.48,68214323.57
Sucursal Centro,Fanta,2024,12,815,611915.43,464754.59
Sucursal Centro,Sprite,2024,12,5285,14952368.65,9096852.6
Sucursal Centro,7 Up,2024,12,4645,6935694.6,4710933.26
Sucursal Centro,Pepsi,2024,12,7666,28232496.21,19411686.31
Sucursal Sur,Coca Cola,2024,12,14185,78106161.39,60238235.81
Sucursal Sur,Fanta,2024,12,837,607340.84,469152.28
Sucursal Sur,Sprite,2024,12,5503,14955392.73,10843686.87
Sucursal Sur,7 Up,2024,12,4690,7233150.97,4516279.34
Sucursal Sur,Pepsi,2024,12,7793,26970640.24,18415019.34
